status,protein,ligand,type,tag,best_affinity_kcal_mol,min_rmsd_lb_modes2plus,results_dir,pymol_open
SKIP,abca5_rattus.pdb,microcystineLR_2D.sdf,transporteur,abca5_rattus__microcystineLR,-5.407,2.167,/Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_rattus__microcystineLR/out.pdb
SKIP,abca5_zebrafish.pdb,aeruginosin98A_2D.sdf,transporteur,abca5_zebrafish__aeruginosin98A,-8.091,1.823,/Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__aeruginosin98A/out.pdb
SKIP,abca5_rattus.pdb,microgininFR1_2D.sdf,transporteur,abca5_rattus__microgininFR1,-5.433,5.12,/Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_rattus__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_rattus__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_rattus__microgininFR1/out.pdb
SKIP,abca5_zebrafish.pdb,microgininFR1_2D.sdf,transporteur,abca5_zebrafish__microgininFR1,-7.918,2.147,/Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__microgininFR1/out.pdb
SKIP,abca5_zebrafish.pdb,microcystineLR_2D.sdf,transporteur,abca5_zebrafish__microcystineLR,-7.772,1.727,/Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__microcystineLR/out.pdb
SKIP,abca5_zebrafish.pdb,cyanopeptolinA_2D.sdf,transporteur,abca5_zebrafish__cyanopeptolinA,-6.521,1.517,/Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abca5_zebrafish__cyanopeptolinA/out.pdb
SKIP,abcb11_rattus.pdb,microcystineLR_2D.sdf,transporteur,abcb11_rattus__microcystineLR,-6.866,1.814,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_rattus__microcystineLR/out.pdb
SKIP,abcb11_rattus.pdb,aeruginosin98A_2D.sdf,transporteur,abcb11_rattus__aeruginosin98A,-6.951,2.235,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_rattus__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_rattus__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_rattus__aeruginosin98A/out.pdb
SKIP,abcb11_rattus.pdb,microgininFR1_2D.sdf,transporteur,abcb11_rattus__microgininFR1,-6.438,1.245,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_rattus__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_rattus__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_rattus__microgininFR1/out.pdb
SKIP,abcb11_zebrafish.pdb,aeruginosin98A_2D.sdf,transporteur,abcb11_zebrafish__aeruginosin98A,-7.184,1.951,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_zebrafish__aeruginosin98A/out.pdb
SKIP,abcb11_zebrafish.pdb,cyanopeptolinA_2D.sdf,transporteur,abcb11_zebrafish__cyanopeptolinA,-7.169,1.681,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_zebrafish__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_zebrafish__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb11_zebrafish__cyanopeptolinA/out.pdb
SKIP,abcb6_daphnia.pdb,microcystineLR_2D.sdf,transporteur,abcb6_daphnia__microcystineLR,-7.08,1.551,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_daphnia__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_daphnia__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_daphnia__microcystineLR/out.pdb
SKIP,abcb6_daphnia.pdb,aeruginosin98A_2D.sdf,transporteur,abcb6_daphnia__aeruginosin98A,-6.162,1.658,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_daphnia__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_daphnia__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_daphnia__aeruginosin98A/out.pdb
SKIP,abcb6_moule.pdb,aeruginosin98A_2D.sdf,transporteur,abcb6_moule__aeruginosin98A,-6.488,1.462,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__aeruginosin98A/out.pdb
SKIP,abcb6_moule.pdb,microcystineLR_2D.sdf,transporteur,abcb6_moule__microcystineLR,-6.802,2.138,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__microcystineLR/out.pdb
SKIP,abcb6_moule.pdb,microgininFR1_2D.sdf,transporteur,abcb6_moule__microgininFR1,-6.292,1.015,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__microgininFR1/out.pdb
SKIP,abcb6_moule.pdb,cyanopeptolinA_2D.sdf,transporteur,abcb6_moule__cyanopeptolinA,-6.029,2.533,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_moule__cyanopeptolinA/out.pdb
SKIP,abcb6_xenope.pdb,aeruginosin98A_2D.sdf,transporteur,abcb6_xenope__aeruginosin98A,-7.417,1.242,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_xenope__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_xenope__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_xenope__aeruginosin98A/out.pdb
SKIP,abcb6_rattus.pdb,cyanopeptolinA_2D.sdf,transporteur,abcb6_rattus__cyanopeptolinA,-6.473,1.848,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_rattus__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_rattus__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_rattus__cyanopeptolinA/out.pdb
SKIP,abcb6_rattus.pdb,microcystineLR_2D.sdf,transporteur,abcb6_rattus__microcystineLR,-6.695,1.973,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_rattus__microcystineLR/out.pdb
SKIP,abcb6_xenope.pdb,microcystineLR_2D.sdf,transporteur,abcb6_xenope__microcystineLR,-6.569,1.86,/Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_xenope__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_xenope__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/REFINE/abcb6_xenope__microcystineLR/out.pdb
