protein,ligand,tag,best_affinity_kcal_mol,min_rmsd_lb_modes2plus,passed_affinity,passed_rmsd,results_dir,pymol_open
abca5_rattus.pdb,aerucyclamideA_3D.sdf,abca5_rattus__aerucyclamideA_3D,-3.956,1.79,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__aerucyclamideA_3D/out.pdb
abca5_rattus.pdb,aeruginosin98A_2D.sdf,abca5_rattus__aeruginosin98A,-4.716,3.806,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__aeruginosin98A/out.pdb
abca5_rattus.pdb,cyanopeptolinA_2D.sdf,abca5_rattus__cyanopeptolinA,-4.243,3.841,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__cyanopeptolinA/out.pdb
abca5_rattus.pdb,microcyclamide7806B_3D.sdf,abca5_rattus__microcyclamide7806B_3D,-4.813,1.74,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__microcyclamide7806B_3D/out.pdb
abca5_rattus.pdb,microcystineLR_2D.sdf,abca5_rattus__microcystineLR,-6.891,1.889,True,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__microcystineLR/out.pdb
abca5_rattus.pdb,microgininFR1_2D.sdf,abca5_rattus__microgininFR1,-6.323,2.532,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_rattus__microgininFR1/out.pdb
abca5_zebrafish.pdb,aerucyclamideA_3D.sdf,abca5_zebrafish__aerucyclamideA_3D,-4.536,1.976,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__aerucyclamideA_3D/out.pdb
abca5_zebrafish.pdb,aeruginosin98A_2D.sdf,abca5_zebrafish__aeruginosin98A,-6.684,3.142,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__aeruginosin98A/out.pdb
abca5_zebrafish.pdb,cyanopeptolinA_2D.sdf,abca5_zebrafish__cyanopeptolinA,-6.02,2.632,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__cyanopeptolinA/out.pdb
abca5_zebrafish.pdb,microcyclamide7806B_3D.sdf,abca5_zebrafish__microcyclamide7806B_3D,-5.854,3.369,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__microcyclamide7806B_3D/out.pdb
abca5_zebrafish.pdb,microcystineLR_2D.sdf,abca5_zebrafish__microcystineLR,-7.251,2.409,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__microcystineLR/out.pdb
abca5_zebrafish.pdb,microgininFR1_2D.sdf,abca5_zebrafish__microgininFR1,-6.931,2.538,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__microgininFR1,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__microgininFR1/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abca5_zebrafish__microgininFR1/out.pdb
abcb11_rattus.pdb,aerucyclamideA_3D.sdf,abcb11_rattus__aerucyclamideA_3D,-5.305,4.531,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__aerucyclamideA_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__aerucyclamideA_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__aerucyclamideA_3D/out.pdb
abcb11_rattus.pdb,aeruginosin98A_2D.sdf,abcb11_rattus__aeruginosin98A,-6.61,2.491,True,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__aeruginosin98A,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__aeruginosin98A/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__aeruginosin98A/out.pdb
abcb11_rattus.pdb,cyanopeptolinA_2D.sdf,abcb11_rattus__cyanopeptolinA,-5.195,1.642,False,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__cyanopeptolinA,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__cyanopeptolinA/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__cyanopeptolinA/out.pdb
abcb11_rattus.pdb,microcyclamide7806B_3D.sdf,abcb11_rattus__microcyclamide7806B_3D,-5.062,2.826,False,False,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__microcyclamide7806B_3D,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__microcyclamide7806B_3D/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__microcyclamide7806B_3D/out.pdb
abcb11_rattus.pdb,microcystineLR_2D.sdf,abcb11_rattus__microcystineLR,-6.892,1.835,True,True,/Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__microcystineLR,pymol /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__microcystineLR/receptor_nowat.pdb /Users/user/Desktop/Projet_long/docking/results/FAST/abcb11_rattus__microcystineLR/out.pdb
